Category,SKU,Title,MSRP,MAP,Current Price,Has speakeasy,Has mapp rules,Problems
MSRP=MAP (needs tags+price),CA23,Marvel: Crisis Protocol - Operation Zero Tolerance Character & Crisis Card Pack,44.99,44.99,44.99,False,True,missing_tags
MSRP=MAP (needs tags+price),SWQ133,Star Wars: Legion -ARC Troopers Unit Expansion,54.99,54.99,54.99,False,True,missing_tags
MSRP=MAP (needs tags+price),SWQ152,Star Wars: Legion – Customizable Mandalorian Leader & Hunter,39.99,39.99,47.99,True,True,price_wrong
MSRP=MAP (needs tags+price),SWQ97,Star Wars: Legion - Infantry Support Platform,52.99,52.99,52.99,False,False,missing_tags
MSRP=MAP (needs tags+price),CGE00131,Codenames Pictures Second Edition,24.99,24.99,19.99,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),CGE00134,SETI: Search for Extraterrestrial Intelligence - Space Agencies,29.99,29.99,23.99,True,True,price_wrong
MSRP=MAP (needs tags+price),CGE00140,Codenames: Sci-Fi Expansion Pack,9.99,9.99,7.99,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),CGE00142,Codenames: Fairy Tales Expansion Pack,9.99,9.99,7.99,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),CGE00144,Codenames: Cute Critters Expansion Pack,9.99,9.99,7.99,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),DWD01020,Dune - Imperium: Bloodlines Expansion,40.0,40.0,40.0,False,False,missing_tags
MSRP=MAP (needs tags+price),DWD02013,Clank!: Catacombs - Lairs & Losts Chambers Expansion,30.0,30.0,30.0,False,False,missing_tags
MSRP=MAP (needs tags+price),DWD02018,Clank!: Catacombs - Underworld Expansion,35.0,35.0,35.0,False,False,missing_tags
MSRP=MAP (needs tags+price),DWD04000,Clank!: Legacy - Acquisitions Incorporated,100.0,100.0,100.0,False,False,missing_tags
MSRP=MAP (needs tags+price),DWD07000,Wild Tiled West,60.0,60.0,60.0,False,False,missing_tags
MSRP=MAP (needs tags+price),DWD10000,Lightning Train,55.0,55.0,55.0,False,False,missing_tags
MSRP=MAP (needs tags+price),GGS40158ML,Take Time Premium Game Mat,32.99,32.99,26.39,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),HIGPAL08EN,Paleolino,29.99,29.99,23.99,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),LOG0193,Forest Shuffle Dartmoor - Exmoor,11.99,11.99,9.59,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),LDNV500001,Watson And Holmes - The Lost Diaries,40.0,40.0,32.0,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),PANCNCORE,Codis Naturalis,19.99,19.99,29.95,False,False,price_wrong;missing_tags
MSRP=MAP (needs tags+price),POD-2RN-EN,The Witcher: Path Of Destiny - Ronin,99.99,99.99,79.99,True,True,price_wrong
MSRP=MAP (needs tags+price),CANVAS01,Canvas,29.99,29.99,29.99,False,False,missing_tags
MSRP=MAP (needs tags+price),CANVAS04,Canvas Reflections,24.99,24.99,24.99,False,False,missing_tags
MSRP=MAP (needs tags+price),CANVASFTR,Canvas Finishing Touches,24.99,24.99,24.99,False,False,missing_tags
MSRP=MAP (needs tags+price),FLY2041EN,Tiger Stripes The Card Game,15.0,15.0,14.99,False,False,missing_tags
MSRP=MAP (needs tags+price),GLGTETMP,Tiny Epic Tactics: Map Pack Expansion,15.0,15.0,15.0,False,False,missing_tags
MSRP=MAP (needs tags+price),PSG202,Boblin's Rebellion,25.0,25.0,24.99,True,False,missing_tags
MSRP=MAP (needs tags+price),PSG203,Obelus,20.0,20.0,19.99,True,False,missing_tags
MSRP=MAP (needs tags+price),PSG204,Aetherspire,50.0,50.0,54.99,True,True,price_wrong
MSRP=MAP (needs tags+price),PSG601,Flutter,35.0,35.0,34.99,True,False,missing_tags
MSRP=MAP (needs tags+price),PSG602,Flutter: Meadow-wood Edition,75.0,75.0,74.99,True,False,missing_tags
MSRP=MAP (needs tags+price),RMA120,Merchants of Magick A Set a Watch Tale,40.0,40.0,44.99,True,True,price_wrong
MSRP=MAP (needs tags+price),RMA121,Merchants of Magick Dangerous Business,30.0,30.0,34.99,True,True,price_wrong
MSRP=MAP (needs tags+price),RMA122,Merchants of Magick Draught of the Dragons,30.0,30.0,34.99,True,True,price_wrong
MSRP=MAP (needs tags+price),RMA207,Maximum Apocalypse Wasted Wilds,85.0,85.0,85.0,False,True,missing_tags
MSRP=MAP (needs tags+price),SK1061,The Princess Bride Battle of Wits,20.0,20.0,21.99,True,True,price_wrong
MSRP=MAP (needs tags+price),SK1062,The Princess Bride I Hate To Kill You,20.0,20.0,21.99,True,True,price_wrong
MSRP=MAP (needs tags+price),SPK2032EN,Deadly Dowagers (Vertical art box),35.0,35.0,34.99,True,False,missing_tags
MSRP=MAP (needs tags+price),ST1030,Alien Frontiers 5th Edition,75.0,75.0,74.99,True,False,missing_tags
MSRP=MAP (needs tags+price),STG2110EN,Black Orchestra Resistance Expansion,45.0,45.0,49.99,True,True,price_wrong
MSRP=MAP (needs tags+price),STG2111EN,Valkrie: A Black Orchestra Game,45.0,45.0,49.99,True,True,price_wrong
MSRP=MAP (needs tags+price),STG2610EN,Everdell Collector's Edition,100.0,100.0,100.0,False,True,missing_tags
MSRP=MAP (needs tags+price),STG2618EN,Everdell Wooden Ever Tree,30.0,30.0,30.0,True,False,missing_tags
MSRP=MAP (needs tags+price),STG3102EN,Farshore Wooden Lighthouse,30.0,30.0,29.99,True,False,missing_tags
MSRP=MAP (needs tags+price),STG3201EN,Everdell Silverfrost Collectors Edition,100.0,100.0,109.99,True,True,price_wrong
MSRP=MAP (needs tags+price),STG3205EN,Everdell Silverfrost Deluxe Resource Vessels,45.0,45.0,49.99,True,True,price_wrong
MSRP=MAP (needs tags+price),STG3400EN,Flow,35.0,35.0,35.0,False,True,missing_tags
MSRP=MAP (needs tags+price),TYC4080EN,Colt Express (2026 Edition),39.99,39.99,31.99,True,True,price_wrong
MSRP!=MAP (extra tags/price),W3D5MOP0101EN,5 Minute - One Piece,31.99,25.59,25.59,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP129,Marvel: Crisis Protocol - Blue Marvel & Spectrum,42.99,34.39,34.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP154,"Marvel: Crisis Protocol - Iron Lad, Iron Monger, Kang The Conqueror & Rescue",59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP191,"Marvel: Crisis Protocol – Adam Warlock, Moondragon & Quasar",59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP218,Marvel: Crisis Protocol - Inhumans Affiliation Pack,64.99,51.99,51.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP224,Marvel: Crisis Protocol - X-Force Affiliation Pack,64.99,51.99,51.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP226,Marvel: Crisis Protocol - Xavier's Students Affiliation Pack,69.99,55.99,55.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP236,Marvel: Crisis Protocol - Sentinels Affiliation Pack,74.99,59.99,59.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP94,Marvel: Crisis Protocol - Valkrie in Elendil & Warriors Three,59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ01,Star Wars: Legion - Rebel Alliance Starter Set,99.99,79.99,79.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ02,Star Wars: Legion - Galactic Empire Starter Set,99.99,79.99,79.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ10,Star Wars Legion: AT-ST Walker,59.99,47.99,59.99,False,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),SWQ102,Star Wars: Legion - 3D Objective Tokens,44.99,35.99,44.99,False,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),SWQ11,Star Wars: Legion - Stormtroopers,54.99,43.99,43.99,True,True,extra_tags
